userId,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1276,4.22,3.74,4.01,4.04,3.74
1283,3.98,3.5,3.76,3.8,3.5
1289,2.39,1.86,2.16,2.16,1.96
1300,4.4,3.91,4.2,4.22,3.94
1318,3.71,3.31,3.49,3.57,3.15
1323,2.25,1.75,2.01,2.04,1.8
1335,2.69,2.18,2.43,2.47,2.24
1338,2.79,2.35,2.56,2.61,2.27
1386,3.91,3.44,3.7,3.73,3.42
1416,3.12,2.65,2.87,2.89,2.62
1423,4.11,3.66,3.94,3.97,3.61
1446,4.09,3.6,3.8,3.88,3.58
1448,1.65,1.19,1.47,1.49,1.17
1459,2.56,2.13,2.34,2.38,2.06
1549,3.73,3.2,3.55,3.52,3.31
1553,4.33,3.81,4.1,4.11,3.87
1577,3.09,2.64,2.87,2.92,2.56
1599,2.92,2.45,2.65,2.72,2.43
1611,3.27,2.79,3.04,3.05,2.83
1636,3.89,3.44,3.68,3.71,3.38
1674,3.13,2.66,2.92,2.94,2.65
1701,2.98,2.52,2.77,2.79,2.5
1703,4.69,4.18,4.5,4.49,4.24
1731,3.21,2.73,2.96,3.01,2.7
1865,3.73,3.24,3.51,3.53,3.26
1900,4.53,4.07,4.3,4.32,4.08
1907,4.35,3.88,4.16,4.17,3.89
1942,3.35,2.82,3.12,3.13,2.92
1961,4.11,3.62,3.87,3.91,3.63
1983,1.9,1.46,1.71,1.75,1.39
2033,3.08,2.59,2.84,2.88,2.59
2077,3.59,3.1,3.33,3.37,3.1
2087,3.12,2.66,2.94,2.96,2.63
2134,4.46,3.98,4.21,4.27,3.97
2173,4.08,3.6,3.8,3.87,3.57
2212,4.84,4.35,4.65,4.65,4.38
2258,2.53,2.02,2.3,2.33,2.07
2319,4.81,4.28,4.47,4.56,4.33
2326,4.53,4.1,4.27,4.35,3.98
2386,3.68,3.2,3.43,3.48,3.23
2406,3.25,2.76,3.04,3.07,2.78
2438,3.88,3.39,3.69,3.71,3.43
2526,4.16,3.72,3.97,4.01,3.66
2585,4.54,4.1,4.35,4.38,4.03
2600,3.2,2.73,2.98,2.99,2.75
2614,4.89,4.43,4.68,4.72,4.4
2637,4.47,3.98,4.27,4.29,4.0
2697,3.94,3.48,3.72,3.75,3.46
2721,3.04,2.54,2.73,2.82,2.52
2722,3.64,3.12,3.41,3.42,3.21
2772,4.72,4.23,4.48,4.49,4.26
2809,3.86,3.37,3.62,3.63,3.39
2851,3.51,3.0,3.33,3.31,3.07
2873,3.37,2.95,3.11,3.18,2.82
2915,3.05,2.59,2.84,2.89,2.54
2919,3.55,3.1,3.33,3.38,3.05
2970,5.09,4.59,4.77,4.86,4.6
2987,2.8,2.34,2.56,2.62,2.28
2995,2.67,2.21,2.48,2.49,2.2
3012,3.33,2.83,3.11,3.14,2.88
3060,4.23,3.73,3.99,4.02,3.75
3158,2.88,2.45,2.68,2.72,2.37
3206,3.82,3.34,3.58,3.62,3.33
3219,3.53,3.02,3.28,3.31,3.07
3227,4.01,3.53,3.82,3.81,3.58
3248,4.08,3.6,3.85,3.89,3.59
3286,2.92,2.44,2.72,2.74,2.45
3292,3.12,2.65,2.88,2.92,2.62
3293,3.53,3.1,3.32,3.37,3.01
3312,3.48,3.01,3.27,3.29,3.01
3317,4.51,4.07,4.31,4.35,4.0
3407,3.67,3.2,3.51,3.51,3.22
3436,3.63,3.14,3.39,3.44,3.14
3446,4.21,3.67,3.8,3.93,3.72
3464,3.7,3.22,3.48,3.52,3.22
3517,3.57,3.15,3.32,3.4,3.02
3525,2.6,2.12,2.39,2.42,2.11
3532,3.94,3.41,3.58,3.68,3.46
3546,1.47,1.01,1.26,1.27,0.98
3565,3.73,3.22,3.38,3.48,3.22
3571,2.98,2.51,2.81,2.82,2.5
3597,3.87,3.43,3.66,3.7,3.36
3617,3.47,2.97,3.24,3.26,3.02
3653,1.57,1.13,1.33,1.39,1.05
3654,3.83,3.37,3.63,3.66,3.34
3736,4.17,3.68,4.01,3.98,3.72
3755,4.99,4.54,4.77,4.8,4.49
3830,2.91,2.41,2.69,2.71,2.45
3837,4.16,3.65,3.94,3.92,3.8
3844,3.6,3.11,3.31,3.39,3.1
3858,4.25,3.81,3.97,4.05,3.69
3869,3.87,3.4,3.65,3.66,3.42
3879,2.54,2.08,2.35,2.36,2.07
3897,3.06,2.58,2.84,2.87,2.59
3910,3.24,2.74,3.03,3.04,2.79
3925,2.54,2.07,2.32,2.35,2.04
3928,1.63,1.15,1.43,1.44,1.19
3937,3.95,3.43,3.75,3.76,3.49
3960,2.91,2.5,2.66,2.71,2.36
3968,2.91,2.45,2.71,2.74,2.41
3993,3.55,3.06,3.34,3.37,3.07
3995,3.44,2.98,3.24,3.28,2.94
4018,3.71,3.23,3.46,3.5,3.23
4029,2.62,2.16,2.4,2.44,2.13
4118,3.41,2.95,3.18,3.22,2.92
4248,2.92,2.45,2.69,2.73,2.44
4262,4.23,3.78,4.02,4.06,3.73
4267,2.42,1.91,2.24,2.23,1.98
4352,4.11,3.61,3.94,3.93,3.67
4361,3.63,3.13,3.42,3.43,3.18
4369,4.27,3.83,3.99,4.08,3.73
4376,4.87,4.4,4.61,4.66,4.36
4390,3.69,3.25,3.48,3.53,3.18
4393,2.75,2.32,2.51,2.58,2.21
4492,5.23,4.73,5.03,5.02,4.81
4497,4.09,3.63,3.85,3.92,3.59
4503,3.93,3.51,3.71,3.77,3.38
4521,2.82,2.34,2.6,2.63,2.34
4577,3.57,3.06,3.3,3.36,3.08
4590,3.22,2.74,2.96,3.02,2.71
4675,4.14,3.64,3.91,3.93,3.68
4720,3.39,2.93,3.15,3.19,2.91
4726,4.31,3.8,4.02,4.08,3.83
4736,3.77,3.29,3.5,3.56,3.27
4745,4.85,4.38,4.68,4.7,4.39
4755,3.37,2.9,3.14,3.18,2.88
4790,4.02,3.58,3.8,3.87,3.48
4816,4.34,3.87,4.16,4.19,3.87
4923,3.49,3.05,3.29,3.33,2.99
4932,3.39,2.92,3.15,3.21,2.88
4965,3.23,2.77,3.02,3.05,2.74
5108,3.63,3.15,3.3,3.42,3.1
5119,3.19,2.71,3.02,3.02,2.73
5126,3.56,3.15,3.38,3.43,3.04
5161,3.0,2.51,2.76,2.8,2.51
5183,3.77,3.27,3.58,3.59,3.32
5233,3.94,3.47,3.66,3.73,3.43
5244,3.55,3.07,3.39,3.38,3.09
5249,3.0,2.56,2.74,2.82,2.47
5285,3.11,2.68,2.93,2.94,2.66
5401,4.49,4.0,4.27,4.3,4.02
5417,2.95,2.49,2.74,2.77,2.45
5437,3.56,3.06,3.36,3.36,3.12
5442,3.89,3.38,3.62,3.67,3.42
5464,3.79,3.3,3.53,3.58,3.32
5471,3.65,3.23,3.4,3.47,3.11
5519,4.4,3.91,4.21,4.21,3.95
5530,3.15,2.67,2.96,2.97,2.67
5549,3.05,2.57,2.85,2.86,2.59
5579,2.7,2.3,2.45,2.55,2.09
5625,1.9,1.41,1.67,1.69,1.44
5646,3.61,3.14,3.33,3.41,3.07
5657,4.47,3.97,4.2,4.25,4.0
5772,2.56,2.11,2.31,2.36,2.05
5817,3.67,3.13,3.33,3.4,3.23
5856,4.08,3.6,3.82,3.87,3.59
5916,3.5,2.99,3.29,3.3,3.04
5991,3.2,2.77,2.99,3.04,2.67
6000,3.36,2.88,3.15,3.18,2.89
6002,3.68,3.26,3.46,3.53,3.11
6027,3.32,2.83,3.11,3.13,2.86
6029,4.13,3.62,3.94,3.94,3.69
6043,2.95,2.46,2.7,2.74,2.47
6089,2.62,2.19,2.37,2.44,2.08
6118,3.18,2.76,2.98,3.04,2.64
6128,3.98,3.52,3.74,3.8,3.45
6137,4.2,3.69,3.99,4.0,3.76
6146,3.72,3.27,3.5,3.55,3.21
6148,3.82,3.34,3.6,3.61,3.34
6184,4.36,3.87,4.15,4.18,3.89
6212,3.98,3.52,3.78,3.8,3.49
6279,3.0,2.52,2.77,2.81,2.52
6344,4.69,4.22,4.47,4.5,4.21
6362,3.68,3.21,3.44,3.51,3.17
6368,3.04,2.61,2.82,2.87,2.53
6418,3.8,3.27,3.55,3.57,3.36
6508,2.57,2.14,2.34,2.4,2.05
6538,4.38,3.9,4.18,4.19,3.9
6570,2.5,2.06,2.26,2.32,1.96
6586,2.61,2.16,2.4,2.45,2.12
6589,2.6,2.11,2.42,2.42,2.14
6605,3.54,3.07,3.31,3.35,3.04
6606,3.01,2.5,2.78,2.78,2.61
6657,3.44,2.95,3.22,3.25,2.96
6670,3.3,2.81,3.1,3.13,2.82
6699,3.98,3.51,3.76,3.79,3.47
6701,3.38,2.92,3.1,3.18,2.83
6744,4.92,4.44,4.67,4.71,4.43
6746,4.18,3.66,3.9,3.96,3.72
6765,3.7,3.23,3.48,3.51,3.23
6770,2.98,2.5,2.77,2.81,2.49
6824,3.34,2.89,3.15,3.18,2.85
6838,1.65,1.2,1.42,1.47,1.14
6850,3.83,3.39,3.54,3.63,3.28
6865,2.68,2.21,2.49,2.51,2.2
6887,5.49,5.02,5.19,5.29,4.97
6908,3.12,2.66,2.88,2.95,2.59
6995,3.11,2.64,2.9,2.93,2.63
7049,3.42,2.94,3.23,3.25,2.96
7098,3.07,2.57,2.86,2.88,2.61
7117,3.36,2.86,3.17,3.19,2.89
7260,2.79,2.27,2.44,2.54,2.29
7270,3.03,2.55,2.78,2.83,2.53
7290,4.98,4.57,4.75,4.81,4.43
7339,2.78,2.28,2.56,2.58,2.33
7344,3.02,2.54,2.8,2.83,2.56
7345,3.42,2.92,3.22,3.21,2.98
7346,3.45,2.92,3.23,3.25,2.99
7353,4.19,3.68,3.9,3.93,3.8
7374,3.85,3.37,3.62,3.66,3.35
7379,3.83,3.35,3.59,3.64,3.33
7405,3.71,3.21,3.49,3.51,3.26
7437,2.77,2.28,2.57,2.58,2.31
7471,3.19,2.71,3.0,3.01,2.71
7517,3.47,2.95,3.29,3.28,3.04
7560,3.36,2.9,3.14,3.17,2.88
7585,3.08,2.61,2.92,2.92,2.61
7600,3.39,2.91,3.1,3.19,2.88
7616,2.6,2.14,2.33,2.4,2.08
7724,2.9,2.42,2.67,2.71,2.42
7772,2.73,2.26,2.53,2.56,2.25
7774,5.32,4.87,5.15,5.16,4.86
7807,2.84,2.39,2.65,2.67,2.34
7811,3.28,2.85,3.07,3.11,2.77
7815,4.05,3.54,3.84,3.84,3.59
7918,2.21,1.71,1.96,2.01,1.72
7922,5.16,4.7,4.85,4.96,4.62
8016,3.55,3.02,3.31,3.31,3.14
8020,3.17,2.71,2.94,2.99,2.65
8051,3.21,2.74,2.98,3.03,2.72
8074,4.1,3.64,3.9,3.93,3.59
8078,3.46,3.05,3.26,3.31,2.95
8086,2.92,2.48,2.72,2.76,2.42
8087,2.57,2.1,2.26,2.34,2.05
8103,2.72,2.27,2.5,2.54,2.22
8121,1.94,1.48,1.65,1.73,1.42
8126,3.57,3.08,3.4,3.39,3.14
8156,2.03,1.58,1.82,1.86,1.54
8157,3.9,3.43,3.69,3.73,3.38
8184,3.38,2.93,3.17,3.22,2.86
8249,2.69,2.2,2.46,2.5,2.23
8250,3.0,2.47,2.74,2.76,2.57
8267,2.81,2.33,2.54,2.6,2.29
8289,3.1,2.65,2.92,2.94,2.62
8295,3.7,3.23,3.46,3.51,3.2
8296,3.1,2.57,2.78,2.85,2.67
8315,4.0,3.57,3.76,3.83,3.43
8323,3.08,2.57,2.86,2.9,2.61
8331,3.68,3.2,3.43,3.48,3.21
8336,3.79,3.33,3.6,3.61,3.32
8340,2.12,1.69,1.89,1.95,1.59
8362,2.81,2.39,2.57,2.65,2.25
8363,5.01,4.53,4.76,4.8,4.51
8372,4.24,3.71,3.99,4.02,3.79
8457,4.54,4.07,4.27,4.34,4.03
8486,3.06,2.6,2.88,2.9,2.58
8545,3.01,2.58,2.8,2.87,2.47
8596,2.9,2.42,2.72,2.74,2.44
8600,3.04,2.6,2.8,2.86,2.51
8616,4.65,4.19,4.45,4.47,4.17
8622,3.44,3.06,3.17,3.29,2.84
8627,3.74,3.27,3.55,3.57,3.26
8687,4.7,4.22,4.37,4.48,4.17
8748,2.56,2.08,2.32,2.37,2.08
8761,3.82,3.34,3.56,3.63,3.32
8791,3.46,3.04,3.27,3.3,2.94
8803,2.85,2.31,2.52,2.59,2.42
8828,3.02,2.56,2.77,2.84,2.5
8890,3.1,2.65,2.88,2.92,2.59
8955,3.13,2.65,2.92,2.94,2.68
9060,4.76,4.32,4.5,4.58,4.21
9063,3.55,3.09,3.35,3.39,3.05
9069,2.17,1.69,1.97,1.99,1.71
9079,3.85,3.38,3.58,3.65,3.35
9089,3.22,2.76,3.01,3.04,2.73
9095,1.65,1.16,1.43,1.45,1.19
9101,3.86,3.32,3.69,3.67,3.43
9117,3.25,2.81,3.06,3.09,2.77
9122,3.7,3.24,3.45,3.5,3.2
9224,3.39,2.85,3.17,3.15,2.98
9240,4.33,3.83,4.09,4.1,3.86
9273,2.93,2.44,2.66,2.72,2.43
9281,3.33,2.89,3.16,3.19,2.85
9309,4.96,4.49,4.73,4.76,4.46
9322,3.86,3.4,3.6,3.66,3.34
9439,3.4,2.93,3.18,3.18,2.97
9466,2.79,2.28,2.58,2.59,2.34
9516,3.4,2.87,3.11,3.18,2.95
9539,4.44,3.99,4.27,4.28,3.95
9575,2.33,1.9,2.18,2.2,1.83
9577,3.47,3.05,3.29,3.32,2.95
9580,2.78,2.3,2.59,2.61,2.3
9615,3.35,2.82,3.11,3.14,2.89
9680,2.52,2.01,2.29,2.33,2.05
9705,2.92,2.42,2.66,2.72,2.45
9768,5.34,4.91,5.14,5.19,4.81
9788,3.25,2.77,3.04,3.06,2.77
9793,3.94,3.52,3.65,3.76,3.38
9822,3.95,3.5,3.75,3.79,3.45
9837,3.44,2.97,3.25,3.26,2.98
9844,3.63,3.14,3.48,3.46,3.19
9905,2.83,2.35,2.59,2.63,2.36
9952,3.02,2.56,2.79,2.82,2.54
9955,3.22,2.75,2.92,3.0,2.71
9965,2.99,2.51,2.75,2.81,2.5
9976,4.22,3.78,4.03,4.07,3.71
9985,4.08,3.6,3.79,3.87,3.57
10052,3.31,2.85,3.09,3.12,2.82
10067,2.52,2.01,2.29,2.31,2.07
10115,3.2,2.69,3.02,3.02,2.76
10133,3.97,3.47,3.69,3.74,3.48
10144,2.97,2.47,2.77,2.79,2.52
10207,3.58,3.07,3.36,3.39,3.11
10221,4.34,3.85,4.11,4.14,3.86
10226,4.23,3.81,3.97,4.04,3.66
10263,4.14,3.68,3.88,3.96,3.61
10407,4.13,3.68,3.92,3.95,3.63
10464,3.85,3.35,3.7,3.66,3.4
10477,4.61,4.2,4.37,4.44,4.04
10486,4.33,3.84,4.12,4.13,3.87
10577,2.67,2.21,2.46,2.49,2.18
10619,2.87,2.41,2.66,2.7,2.39
10639,3.14,2.62,2.92,2.89,2.76
10645,2.69,2.19,2.47,2.49,2.25
10654,3.72,3.24,3.57,3.56,3.26
10659,3.83,3.36,3.56,3.62,3.32
10710,4.02,3.57,3.8,3.85,3.51
10737,3.49,3.03,3.25,3.31,2.99
10749,4.02,3.59,3.79,3.86,3.48
10770,3.22,2.74,2.98,3.02,2.73
10780,4.96,4.39,4.58,4.67,4.51
10786,3.01,2.51,2.72,2.79,2.52
10807,3.05,2.55,2.81,2.85,2.57
10862,4.69,4.25,4.41,4.48,4.14
10871,3.06,2.57,2.84,2.86,2.6
10892,1.85,1.43,1.64,1.68,1.33
10903,4.42,3.93,4.24,4.24,3.97
10941,3.56,3.13,3.35,3.41,3.04
10958,4.04,3.65,3.81,3.9,3.45
10973,3.07,2.59,2.87,2.88,2.59
10980,4.24,3.77,4.0,4.02,3.82
10985,5.28,4.83,5.09,5.11,4.79
10986,3.69,3.23,3.47,3.51,3.18
11036,3.7,3.2,3.56,3.53,3.26
11041,3.77,3.27,3.46,3.54,3.28
11052,3.85,3.42,3.6,3.68,3.3
11239,3.84,3.4,3.6,3.66,3.32
11250,2.9,2.49,2.68,2.75,2.36
11252,4.0,3.56,3.73,3.82,3.45
11268,3.99,3.56,3.82,3.86,3.48
11297,3.62,3.09,3.37,3.41,3.16
11355,3.22,2.75,3.02,3.04,2.73
11427,3.8,3.34,3.58,3.63,3.29
11445,3.36,2.88,3.13,3.19,2.86
11479,1.97,1.46,1.69,1.74,1.48
11491,2.71,2.27,2.5,2.54,2.19
11513,2.6,2.12,2.32,2.39,2.1
11516,1.76,1.29,1.55,1.56,1.3
11540,2.97,2.54,2.77,2.8,2.45
11590,3.8,3.32,3.58,3.61,3.32
11591,3.22,2.76,3.01,3.03,2.73
11638,4.74,4.29,4.5,4.56,4.23
11648,3.57,3.13,3.34,3.38,3.05
11650,3.54,3.06,3.29,3.33,3.07
11674,2.53,2.05,2.29,2.32,2.06
11740,3.53,3.03,3.34,3.34,3.07
11785,2.57,2.11,2.31,2.37,2.07
11852,2.84,2.39,2.64,2.67,2.35
11870,4.36,3.83,4.16,4.15,3.93
11896,3.85,3.35,3.65,3.65,3.42
11940,4.38,3.87,4.11,4.17,3.9
11970,4.27,3.79,4.02,4.06,3.77
11994,3.84,3.36,3.6,3.62,3.37
12097,2.88,2.42,2.63,2.68,2.36
12106,2.41,1.92,2.21,2.23,1.94
12171,3.53,3.02,3.39,3.36,3.08
12179,3.91,3.38,3.69,3.69,3.48
12216,2.66,2.12,2.37,2.4,2.22
12242,3.14,2.65,2.96,2.94,2.73
12250,3.48,3.03,3.3,3.32,2.98
12266,2.84,2.31,2.55,2.6,2.38
12283,3.24,2.81,3.06,3.09,2.73
12293,3.44,2.98,3.22,3.26,2.93
12310,4.08,3.58,3.89,3.9,3.64
12321,1.73,1.26,1.48,1.54,1.25
12399,1.81,1.36,1.59,1.64,1.31
12411,3.97,3.5,3.74,3.79,3.48
12433,3.44,2.97,3.24,3.26,2.95
12451,3.45,3.03,3.18,3.28,2.88
12537,3.01,2.54,2.83,2.85,2.54
12579,3.8,3.3,3.51,3.57,3.31
12590,2.86,2.4,2.62,2.65,2.37
12623,2.96,2.51,2.74,2.78,2.45
12674,5.08,4.55,4.71,4.84,4.57
12698,3.67,3.22,3.47,3.49,3.18
12713,3.89,3.38,3.64,3.69,3.42
12716,3.54,3.09,3.31,3.36,3.04
12735,2.66,2.19,2.43,2.47,2.18
12737,3.66,3.17,3.46,3.48,3.18
12773,3.55,3.12,3.33,3.37,3.02
12774,3.58,3.11,3.37,3.39,3.09
12782,4.53,4.08,4.35,4.37,4.03
12799,4.13,3.64,3.94,3.94,3.68
12800,2.37,1.89,2.16,2.16,1.92
12806,3.98,3.52,3.74,3.79,3.51
12807,2.68,2.16,2.41,2.48,2.2
12818,4.36,3.91,4.11,4.17,3.84
12874,4.51,3.99,4.16,4.28,4.01
12912,3.27,2.82,3.08,3.12,2.76
12930,1.7,1.18,1.39,1.46,1.23
12945,2.97,2.54,2.76,2.81,2.46
12962,3.76,3.35,3.54,3.6,3.21
13071,1.61,1.03,1.3,1.29,1.31
13112,3.58,3.16,3.39,3.42,3.06
13113,3.86,3.4,3.57,3.66,3.32
13123,4.04,3.56,3.83,3.86,3.57
13134,3.88,3.39,3.65,3.69,3.42
13135,2.95,2.49,2.8,2.8,2.48
13159,3.14,2.68,2.91,2.96,2.65
13176,3.19,2.7,3.02,3.02,2.72
13178,4.19,3.71,3.88,3.99,3.66
13195,3.73,3.22,3.5,3.52,3.31
13210,3.81,3.3,3.62,3.63,3.38
13324,2.74,2.32,2.52,2.58,2.21
13348,4.41,4.01,4.16,4.26,3.83
13373,3.75,3.28,3.56,3.57,3.26
13413,3.07,2.61,2.9,2.91,2.6
13443,3.55,3.09,3.35,3.38,3.05
13454,3.96,3.49,3.77,3.79,3.49
13480,2.9,2.39,2.71,2.7,2.45
13483,3.37,2.87,3.16,3.16,2.91
13563,4.78,4.29,4.45,4.55,4.27
13569,4.35,3.88,4.11,4.16,3.85
13617,3.23,2.74,3.0,3.03,2.77
13643,2.75,2.3,2.52,2.56,2.26
13655,4.22,3.8,4.04,4.08,3.71
13666,3.76,3.27,3.59,3.59,3.31
13669,2.78,2.28,2.58,2.58,2.34
13695,4.46,3.98,4.22,4.26,3.98
13699,3.88,3.36,3.68,3.67,3.45
13712,4.86,4.39,4.65,4.68,4.38
13732,2.81,2.32,2.58,2.6,2.36
13749,3.06,2.55,2.8,2.85,2.6
13751,4.32,3.88,4.12,4.16,3.81
13782,3.88,3.41,3.66,3.7,3.39
13797,3.94,3.47,3.74,3.76,3.47
13869,3.99,3.53,3.76,3.8,3.49
13879,3.4,2.9,3.14,3.21,2.9
13888,2.94,2.49,2.67,2.75,2.39
13898,3.26,2.79,3.06,3.08,2.78
13900,3.19,2.69,2.98,3.0,2.73
13915,1.8,1.27,1.53,1.58,1.34
13935,2.48,1.98,2.31,2.3,2.03
13937,4.02,3.54,3.77,3.83,3.53
13938,2.93,2.47,2.7,2.75,2.42
13942,3.22,2.77,3.04,3.07,2.69
13985,4.36,3.92,4.14,4.2,3.84
14004,2.83,2.32,2.57,2.64,2.34
14065,3.79,3.3,3.6,3.59,3.33
14073,4.41,3.9,4.16,4.19,3.95
14122,2.85,2.35,2.63,2.66,2.39
14124,3.89,3.48,3.66,3.71,3.38
14128,3.77,3.37,3.58,3.63,3.2
14237,3.88,3.41,3.66,3.7,3.4
14265,2.83,2.36,2.65,2.67,2.35
14271,4.04,3.52,3.77,3.8,3.6
14281,4.34,3.91,4.08,4.16,3.77
14330,4.41,3.93,4.2,4.21,3.95
14408,3.68,3.21,3.43,3.47,3.17
14421,3.74,3.24,3.48,3.54,3.27
14436,3.34,2.86,3.11,3.15,2.85
14441,3.82,3.33,3.65,3.65,3.38
14452,3.46,3.0,3.24,3.27,2.98
14456,3.96,3.47,3.76,3.76,3.51
14491,3.15,2.67,2.9,2.94,2.68
14573,3.31,2.85,3.04,3.11,2.8
14644,2.72,2.21,2.48,2.47,2.34
14704,2.56,2.12,2.34,2.39,2.04
14725,4.1,3.64,3.88,3.91,3.6
14738,3.22,2.76,3.0,3.04,2.73
14777,1.6,1.11,1.37,1.4,1.15
14828,2.41,1.96,2.2,2.25,1.88
14837,3.43,2.87,3.08,3.15,3.01
14857,3.87,3.42,3.64,3.68,3.36
14862,3.47,3.01,3.24,3.31,2.99
14866,4.37,3.88,4.18,4.18,3.9
14868,3.44,3.0,3.23,3.27,2.93
14884,3.66,3.22,3.34,3.46,3.06
14887,2.42,1.93,2.19,2.22,1.95
14926,2.34,1.87,2.07,2.15,1.82
14940,3.95,3.44,3.7,3.76,3.48
14951,2.88,2.41,2.67,2.7,2.4
14964,3.21,2.73,3.04,3.04,2.73
14973,3.4,2.95,3.15,3.21,2.92
15018,2.42,1.95,2.22,2.25,1.94
15019,2.06,1.57,1.9,1.88,1.62
15032,3.08,2.63,2.86,2.9,2.6
15149,2.5,2.03,2.25,2.32,2.0
15175,3.43,2.92,3.17,3.22,2.95
15252,3.04,2.56,2.81,2.86,2.56
15268,4.09,3.64,3.84,3.91,3.56
15292,2.65,2.2,2.38,2.44,2.11
15294,2.31,1.85,2.08,2.12,1.8
15349,3.75,3.3,3.49,3.57,3.23
15362,3.58,3.08,3.39,3.39,3.12
15375,2.79,2.25,2.51,2.52,2.44
15384,3.93,3.44,3.77,3.75,3.49
15413,3.31,2.86,3.08,3.14,2.8
15428,2.55,2.06,2.28,2.35,2.06
15462,3.69,3.22,3.49,3.52,3.21
15479,3.49,3.02,3.31,3.31,3.02
15497,2.62,2.15,2.38,2.42,2.13
15537,3.9,3.4,3.66,3.69,3.44
15540,3.61,3.12,3.4,3.41,3.15
15575,3.01,2.56,2.81,2.86,2.5
15676,1.71,1.27,1.5,1.56,1.2
15677,2.79,2.35,2.61,2.62,2.28
15728,2.83,2.33,2.53,2.61,2.34
15801,3.14,2.69,2.92,2.98,2.61
15826,4.56,4.11,4.35,4.4,4.06
15831,2.98,2.5,2.72,2.77,2.48
15850,4.5,4.08,4.22,4.32,3.94
15890,2.91,2.43,2.69,2.71,2.46
15902,3.15,2.71,2.89,2.97,2.61
15957,3.29,2.81,3.07,3.11,2.8
15986,2.45,1.98,2.21,2.25,1.96
15994,2.71,2.21,2.47,2.5,2.22
15999,2.85,2.41,2.67,2.69,2.37
16005,3.54,3.05,3.34,3.35,3.07
16013,3.66,3.19,3.5,3.48,3.2
16020,3.35,2.86,3.09,3.14,2.85
16039,2.77,2.34,2.55,2.61,2.23
16086,3.74,3.27,3.53,3.56,3.25
16101,4.84,4.38,4.63,4.66,4.34
16137,2.85,2.4,2.65,2.68,2.36
16206,4.33,3.82,4.12,4.1,3.91
16217,4.68,4.19,4.44,4.46,4.22
16240,3.69,3.21,3.42,3.48,3.19
16247,4.38,3.84,4.03,4.13,3.9
16298,3.94,3.48,3.71,3.76,3.41
16299,3.32,2.85,3.13,3.14,2.86
16308,4.83,4.42,4.63,4.69,4.29
16324,3.58,3.1,3.43,3.43,3.13
16325,3.15,2.68,2.93,2.96,2.64
16350,3.71,3.24,3.48,3.54,3.23
16454,3.48,3.01,3.27,3.29,2.98
16466,3.07,2.58,2.87,2.89,2.61
